Purchase Doc.Num.,Cal. Year/Month,Agreement No Purchas,Automation flag,Direct/Indirect,Material PO text,Material group,Mat.gr.Hier.lvl 1,Material,Vendor,Purchasing group,Catalog Type Ind.,Purchasing doc. type,Company Code,Country of Plant,Counter PO Items,PO Value in Target Currency,PO Net Value in Target Currency,PO Quantity,,,,,,,,,,,,,,,244
P1/2414549810,1.2023,Not assigned,#,I,FD CUT-IN ed0O,37020500,01_TGS,#,8252498,TCI,#,YK,1554,PR of China,1,"4,551.94","4,551.94",1 AU,,,,,,,,,,,,,,,
P1/2414549810,1.2023,Not assigned,#,I,??6\I??,37020500,01_TGS,#,8252498,TCI,#,YK,1554,PR of China,1,"4,591.70","4,591.70",1 AU,,,,,,,,,,,,,,,
P1/2414549905,1.2023,4600016946,X,D,ACETONE,39021201,01_STC,442489,1618107,TWD,#,NB,1105,Taiwan,1,"3,406.47","3,244.26","3,200 KG",,,,,,,,,,,,,,,
P1/2414549998,1.2023,Not assigned,#,I,(ot assigned8OUS ACID,50%,19019890,01_BSP,#,7778037,TWI,#,YK,1105,Taiwan,1,"5,529.98","5,529.98",1 AU,,,,,,,,,,,,,,
P1/2414550022,1.2023,Not assigned,#,I,SHELL FUEL SAVE DIESEL B7 BULK,26040100,01_TGS,#,7694180,TTI,F,ZAR,422,Thailand,1,"8,752.70","8,752.70","9,000 L",,,,,,,,,,,,,,,
P1/2414550207,1.2023,Not assigned,#,I,2023assigned7VE DI,21000000,01_TGS,#,11348754,TWI,#,FO,1105,Taiwan,1,"4,608.32","4,608.32","150,000 EA",,,,,,,,,,,,,,,
P1/2414550217,1.2023,Not assigned,#,I,MM 2023igned7VE DIE,21000000,01_TGS,#,11348754,TWI,#,YK,1105,Taiwan,1,"9,216.64","9,216.64",1 AU,,,,,,,,,,,,,,,
P1/2414550864,1.2023,Not assigned,#,I,?):;:4??,36430100,01_TGS,#,7205881,TCI,#,YK,1554,PR of China,1,"6,388.53","6,388.53",1 AU,,,,,,,,,,,,,,,
P1/2414550898,1.2023,4600018464,X,I,ACTIVE CARBON CPG-LF 12X40 FOR HCL,99995000,01_IAP,21746,9531521,TCD,#,NB,1554,PR of China,1,"5,742.82","5,742.82",36 BAG,,,,,,,,,,,,,,,
P1/2414551010,1.2023,Not assigned,#,#,Y2022 FRQ _ SCL CN F 12X40 FOR H,98200202,01_BSP,#,11399436,TCI,#,YK,1554,PR of China,1,"11,118.57","11,118.57",1 AU,,,,,,,,,,,,,,,
P1/2414551043,1.2023,4600016758,X,D,"1,4-CYCLOHEXANE2METHANOL 0200,00 KG DR01",97020420,01_IAP,427900,11348327,TCF,#,NB,1175,PR of China,1,"7,653.76","6,773.24","1,600 KG",,,,,,,,,,,,,,,
P1/2414551051,1.2023,Not assigned,#,D,2023assigned1NE2ME,20030103,01_IAP,#,11348734,TWI,#,FO,1105,Taiwan,1,"4,649.24","4,649.24","150,000 EA",,,,,,,,,,,,,,,
P1/2414551069,1.2023,Not assigned,#,I,2023assigned9NE2M,32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"4,649.24","4,649.24","150,000 EA",,,,,,,,,,,,,,,
